data;
param nbVertex:=20
;

param graph:
 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 :=
 1 1 0 0 1 0 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1
 2 0 1 1 0 0 0 0 1 1 0 0 0 1 0 0 1 1 0 1 0
 3 0 1 1 0 1 0 1 1 1 1 1 0 0 0 1 1 0 0 1 1
 4 1 0 0 1 1 0 1 0 1 1 1 0 0 1 1 1 0 1 1 1
 5 0 0 1 1 1 0 0 1 0 0 1 1 1 1 0 0 0 1 1 1
 6 1 0 0 0 0 1 1 0 0 1 1 1 1 1 0 0 0 0 1 0
 7 1 0 1 1 0 1 1 0 0 1 1 1 0 1 0 0 1 0 0 0
 8 1 1 1 0 1 0 0 1 0 1 1 0 1 0 1 0 1 0 0 1
 9 0 1 1 1 0 0 0 0 1 0 1 1 0 0 1 1 0 0 1 1
 10 1 0 1 1 0 1 1 1 0 1 0 0 0 1 1 1 0 0 0 1
 11 1 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 0 1 0
 12 1 0 0 0 1 1 1 0 1 0 1 1 0 0 1 0 1 0 0 1
 13 1 1 0 0 1 1 0 1 0 0 1 0 1 1 1 1 0 0 1 0
 14 1 0 0 1 1 1 1 0 0 1 1 0 1 1 0 1 1 1 1 0
 15 0 0 1 1 0 0 0 1 1 1 0 1 1 0 1 1 1 1 1 0
 16 0 1 1 1 0 0 0 0 1 1 1 0 1 1 1 1 0 1 0 0
 17 1 1 0 0 0 0 1 1 0 0 1 1 0 1 1 0 1 1 1 0
 18 1 0 0 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1
 19 1 1 1 1 1 1 0 0 1 0 1 0 1 1 1 0 1 1 1 0
 20 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 0 0 1 0 1
;

end;
